,year,date,away_team,home_team,away_score,home_score,winner
41,2014,11/15/2014, Missouri, Texas A&M,34.0,27.0, Missouri
42,2014,11/15/2014, Texas, Oklahoma State,28.0,7.0, Texas
43,2014,11/15/2014, Florida State, Miami (Florida),30.0,26.0, Florida State
44,2014,11/15/2014, South Florida, SMU,14.0,13.0, South Florida
45,2014,11/15/2014, Michigan State, Maryland,37.0,15.0, Michigan State
46,2014,11/15/2014, LSU, Arkansas,0.0,17.0, Arkansas
47,2014,11/15/2014, North Texas, UTEP,17.0,35.0, UTEP
48,2014,11/15/2014, San Diego State, Boise State,29.0,38.0, Boise State
49,2014,11/15/2014, Arizona State, Oregon State,27.0,35.0, Oregon State
0,2014,11/18/2014, Massachusetts, Akron,6.0,30.0, Akron
1,2014,11/18/2014, Northern Illinois, Ohio,21.0,14.0, Northern Illinois
2,2014,11/19/2014, Bowling Green, Toledo,20.0,27.0, Toledo
3,2014,11/20/2014, Kansas State, West Virginia,26.0,20.0, Kansas State
4,2014,11/20/2014, North Carolina, Duke,45.0,20.0, North Carolina
5,2014,11/20/2014, Arkansas State, Texas State,27.0,45.0, Texas State
6,2014,11/21/2014, UTEP, Rice,13.0,31.0, Rice
7,2014,11/21/2014, Air Force, San Diego State,14.0,30.0, San Diego State
8,2014,11/21/2014, San Jose State, Utah State,7.0,41.0, Utah State
9,2014,11/22/2014, South Alabama, South Carolina,12.0,37.0, South Carolina
10,2014,11/22/2014, Fordham, Army,31.0,42.0, Army
11,2014,11/22/2014, Eastern Kentucky, Florida,3.0,52.0, Florida
12,2014,11/22/2014, Charleston So., Georgia,9.0,55.0, Georgia
13,2014,11/22/2014, Minnesota, Nebraska,28.0,24.0, Minnesota
14,2014,11/22/2014, Northwestern, Purdue,38.0,14.0, Northwestern
15,2014,11/22/2014, Rutgers, Michigan State,3.0,45.0, Michigan State
16,2014,11/22/2014, Marshall, UAB,23.0,18.0, Marshall
17,2014,11/22/2014, UTSA, Western Kentucky,7.0,45.0, Western Kentucky
18,2014,11/22/2014, SMU, UCF,7.0,53.0, UCF
19,2014,11/22/2014, Tulsa, Houston,28.0,38.0, Houston
20,2014,11/22/2014, Penn State, Illinois,14.0,16.0, Illinois
21,2014,11/22/2014, Indiana, Ohio State,27.0,42.0, Ohio State
22,2014,11/22/2014, Virginia Tech, Wake Forest,3.0,6.0, Wake Forest
23,2014,11/22/2014, Louisiana Tech, Old Dominion,27.0,30.0, Old Dominion
